LSOA code,LSOA name,IMD,IMD_R,Income,Income_R,Employment,Employment_R,Education,Education_R,Health,Health_R,Crime,Crime_R,Housing,Housing_R,Living,Living_R
E01002817,Kensington and Chelsea 011D,10.4000 ,8,0.0330 ,10,0.0250 ,10,0.6260 ,10,-2.3560 ,10,0.3620 ,4,26.7600 ,3,44.6030 ,1
E01002818,Kensington and Chelsea 012A,12.6560 ,7,0.0150 ,10,0.0090 ,10,3.5410 ,9,-3.1230 ,10,0.2640 ,4,38.3350 ,1,46.5680 ,1
E01002819,Kensington and Chelsea 012B,11.0720 ,8,0.0150 ,10,0.0060 ,10,6.6970 ,8,-2.5630 ,10,-0.2870 ,7,34.5350 ,2,46.1880 ,1
E01002820,Kensington and Chelsea 016A,9.5570 ,8,0.0270 ,10,0.0170 ,10,3.6690 ,9,-2.2710 ,10,-0.4670 ,8,35.3680 ,2,37.3660 ,2
E01002821,Kensington and Chelsea 014A,10.9330 ,8,0.0240 ,10,0.0110 ,10,2.4200 ,10,-2.3500 ,10,0.3040 ,4,31.5610 ,2,44.3600 ,1
E01002822,Kensington and Chelsea 016B,12.8560 ,7,0.0130 ,10,0.0040 ,10,2.1540 ,10,-3.1050 ,10,0.2570 ,4,29.4920 ,3,61.3230 ,1
E01002823,Kensington and Chelsea 014B,28.4180 ,3,0.1950 ,3,0.1440 ,3,5.6450 ,9,-0.2190 ,6,0.1780 ,5,37.3500 ,1,39.2220 ,2
E01002824,Kensington and Chelsea 008A,10.0450 ,8,0.0230 ,10,0.0210 ,10,0.5810 ,10,-2.3010 ,10,-0.0780 ,6,29.8080 ,3,47.2610 ,1
E01002825,Kensington and Chelsea 008B,9.6970 ,8,0.0440 ,9,0.0370 ,9,0.3570 ,10,-2.1230 ,10,-0.5720 ,8,29.4140 ,3,41.3940 ,2
E01002826,Kensington and Chelsea 008C,10.7560 ,8,0.0350 ,10,0.0190 ,10,0.4500 ,10,-2.2140 ,10,-0.1390 ,6,31.7670 ,2,48.0680 ,1
E01002827,Kensington and Chelsea 008D,12.0750 ,7,0.0240 ,10,0.0250 ,10,0.0180 ,10,-2.2900 ,10,0.2020 ,5,29.6170 ,3,56.3290 ,1
E01002828,Kensington and Chelsea 008E,16.2430 ,6,0.0740 ,7,0.0700 ,6,2.8830 ,10,-1.3010 ,10,0.2320 ,4,33.0240 ,2,43.7110 ,1
E01002829,Kensington and Chelsea 004A,34.5310 ,2,0.2130 ,2,0.1660 ,2,5.6900 ,9,0.0050 ,5,0.8000 ,2,40.4380 ,1,43.8950 ,1
E01002830,Kensington and Chelsea 004B,35.3730 ,2,0.2150 ,2,0.1700 ,2,7.9920 ,8,-0.3450 ,7,1.2400 ,1,41.8620 ,1,35.9080 ,2
E01002831,Kensington and Chelsea 004C,36.7080 ,2,0.2150 ,2,0.1640 ,2,5.8820 ,9,-0.0140 ,5,1.2800 ,1,40.3820 ,1,44.8090 ,1
E01002832,Kensington and Chelsea 004D,31.3660 ,3,0.2180 ,2,0.1310 ,3,7.1150 ,8,-0.3440 ,7,0.7550 ,2,39.7720 ,1,42.8460 ,2
E01002833,Kensington and Chelsea 007A,19.1970 ,5,0.0830 ,6,0.0580 ,7,3.9690 ,9,-0.8660 ,9,1.0500 ,1,32.7470 ,2,44.9710 ,1
E01002834,Kensington and Chelsea 013B,15.6070 ,6,0.0560 ,8,0.0380 ,9,0.1990 ,10,-1.4410 ,10,0.0170 ,5,36.2560 ,2,59.7490 ,1
E01002835,Kensington and Chelsea 016C,10.4610 ,8,0.0240 ,10,0.0130 ,10,2.6260 ,10,-2.3670 ,10,0.2150 ,5,28.8050 ,3,46.1960 ,1
E01002836,Kensington and Chelsea 016D,11.0930 ,8,0.0430 ,9,0.0340 ,10,1.3200 ,10,-1.5300 ,10,0.0810 ,5,33.7810 ,2,38.4980 ,2
E01002837,Kensington and Chelsea 016E,13.1060 ,7,0.0120 ,10,0.0060 ,10,2.9400 ,10,-2.6510 ,10,-0.3180 ,7,32.6610 ,2,64.5770 ,1
E01002838,Kensington and Chelsea 020A,11.1080 ,8,0.0110 ,10,0.0050 ,10,1.7640 ,10,-2.2550 ,10,0.2300 ,4,37.8960 ,1,39.0740 ,2
E01002839,Kensington and Chelsea 013C,25.7790 ,4,0.1110 ,5,0.1020 ,4,1.7070 ,10,-0.7300 ,8,0.2770 ,4,46.8270 ,1,56.0150 ,1
E01002840,Kensington and Chelsea 021A,37.6720 ,2,0.2730 ,1,0.1770 ,2,10.1310 ,7,-0.2280 ,6,0.8620 ,2,38.6220 ,1,40.4230 ,2
E01002841,Kensington and Chelsea 021B,26.4620 ,4,0.1500 ,4,0.1170 ,4,3.5490 ,9,0.0550 ,5,0.9220 ,2,35.7760 ,2,34.6110 ,2
E01002842,Kensington and Chelsea 021C,47.3960 ,1,0.3630 ,1,0.2220 ,1,17.6350 ,5,0.2720 ,4,0.5790 ,3,41.6280 ,1,33.0060 ,3
E01002843,Kensington and Chelsea 021D,42.6080 ,2,0.2870 ,1,0.2220 ,1,14.7070 ,6,0.6100 ,3,0.6080 ,3,37.3140 ,1,32.4020 ,3
E01002844,Kensington and Chelsea 019A,17.0200 ,6,0.0840 ,6,0.0520 ,8,1.1490 ,10,-1.0890 ,9,0.3720 ,4,36.1260 ,2,47.6610 ,1
E01002845,Kensington and Chelsea 019B,21.0210 ,5,0.1260 ,4,0.0900 ,5,2.0900 ,10,-0.7160 ,8,0.1390 ,5,36.4130 ,2,44.7800 ,1
E01002846,Kensington and Chelsea 017A,30.8570 ,3,0.1620 ,3,0.1250 ,3,1.8880 ,10,0.1420 ,5,0.4850 ,3,52.6090 ,1,37.8110 ,2
E01002847,Kensington and Chelsea 015B,22.1420 ,4,0.0800 ,6,0.0650 ,7,0.6900 ,10,-0.7700 ,9,0.9210 ,2,46.0790 ,1,46.6570 ,1
E01002848,Kensington and Chelsea 015C,29.5330 ,3,0.1580 ,3,0.1030 ,4,4.4580 ,9,-0.1540 ,6,0.0060 ,6,56.6600 ,1,48.8820 ,1
E01002849,Kensington and Chelsea 017B,17.2150 ,6,0.0680 ,7,0.0550 ,8,0.8610 ,10,-1.2090 ,10,0.8990 ,2,35.9820 ,2,41.9790 ,2
