,LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,area,NO2,NOx,PM25,PM10
1668,E01001705,Greenwich 005A,E02000317,Greenwich 005,E09000011,Greenwich,0.175127681659,27.649962347204035,42.647550175406714,10.678661875291304,16.873943710327147
1669,E01001706,Greenwich 005B,E02000317,Greenwich 005,E09000011,Greenwich,0.114907078266,26.823169681943696,39.780083320880756,10.580038721808071,16.56650305123165
1670,E01001708,Greenwich 005C,E02000317,Greenwich 005,E09000011,Greenwich,0.175020442963,27.310880072105864,41.248046004827124,10.671633331457041,16.736083804187686
1671,E01001709,Greenwich 004B,E02000316,Greenwich 004,E09000011,Greenwich,0.781059735893,28.88697237671335,45.42099020454321,11.002804268611952,17.79364008996046
1672,E01001710,Greenwich 005D,E02000317,Greenwich 005,E09000011,Greenwich,0.0875675239639,27.035751710244273,40.5938906363391,10.597031833928659,16.578587549542068
1673,E01001711,Greenwich 004C,E02000316,Greenwich 004,E09000011,Greenwich,0.173488925375,28.3771226952929,44.5161087928562,10.828246810020657,17.632743083008933
1674,E01001712,Greenwich 004D,E02000316,Greenwich 004,E09000011,Greenwich,0.165296641103,28.71769473622146,46.32821083068848,10.823364035597125,17.594093808850037
1675,E01001713,Greenwich 005E,E02000317,Greenwich 005,E09000011,Greenwich,0.099460484294,29.38525734573114,47.75250291042641,11.011327774798284,18.078909420576252
1676,E01001714,Hackney 002A,E02000346,Hackney 002,E09000012,Hackney,0.153080398895,31.745645039943405,52.48598932150486,11.233370662679144,17.87890707534347
1677,E01001715,Hackney 007A,E02000351,Hackney 007,E09000012,Hackney,0.0768508418657,30.033024868212248,46.86242189909282,11.03021246759515,17.103012697320235
1678,E01001716,Hackney 007B,E02000351,Hackney 007,E09000012,Hackney,0.0835212347688,32.684648195902504,55.63901383536203,11.477936667487734,18.73855793362572
1679,E01001717,Hackney 007C,E02000351,Hackney 007,E09000012,Hackney,0.0977501373752,31.096480272254166,49.88271839375398,11.165694618225098,17.49069113439443
1680,E01001718,Hackney 007D,E02000351,Hackney 007,E09000012,Hackney,0.10103185347,31.63897466278076,51.442083877563476,11.29067142868042,17.934434158325196
1681,E01001719,Hackney 007E,E02000351,Hackney 007,E09000012,Hackney,0.062578133427,31.90649270088442,52.04694373838363,11.287480003603044,17.789189307920395
1682,E01001720,Hackney 007F,E02000351,Hackney 007,E09000012,Hackney,0.101405640642,31.07662908614628,49.58611856188093,11.197614249728975,17.53984983383663
1683,E01001722,Hackney 029A,E02006921,Hackney 029,E09000012,Hackney,0.105464376944,30.08213950103184,47.507861299334834,11.06810556807608,17.068910922644275
