LSOA Code,population,old,median_age,male,male_pop,old_pop
E01000554,2050.00 ,351.00 ,35.00 ,1068.00 ,0.52 ,0.17 
E01000555,1645.00 ,334.00 ,36.10 ,881.00 ,0.54 ,0.20 
E01000556,2163.00 ,242.00 ,34.80 ,1178.00 ,0.54 ,0.11 
E01000557,1949.00 ,268.00 ,34.30 ,1010.00 ,0.52 ,0.14 
E01000558,1559.00 ,236.00 ,35.10 ,792.00 ,0.51 ,0.15 
E01000559,1550.00 ,251.00 ,34.50 ,788.00 ,0.51 ,0.16 
E01000560,1657.00 ,250.00 ,34.30 ,891.00 ,0.54 ,0.15 
E01000561,1836.00 ,292.00 ,34.70 ,1017.00 ,0.55 ,0.16 
E01000562,1452.00 ,474.00 ,46.80 ,720.00 ,0.50 ,0.33 
E01000563,1419.00 ,473.00 ,47.50 ,727.00 ,0.51 ,0.33 
E01000564,1691.00 ,271.00 ,35.80 ,901.00 ,0.53 ,0.16 
E01000565,1617.00 ,367.00 ,38.10 ,809.00 ,0.50 ,0.23 
E01000566,1507.00 ,380.00 ,38.40 ,765.00 ,0.51 ,0.25 
E01000567,1308.00 ,306.00 ,39.20 ,641.00 ,0.49 ,0.23 
E01000568,2930.00 ,264.00 ,25.90 ,1344.00 ,0.46 ,0.09 
